,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
16641,235,605,2397,2192,155,447,1371,1274,6354562,5376020,235,155
16642,251,600,2481,2284,154,438,1351,1228,6354911,5376304,251,154
16643,225,637,2472,2230,135,454,1424,1275,6355323,5376623,225,135
16644,236,614,2455,2224,140,468,1396,1224,6355701,5376951,236,140
16645,209,614,2450,2251,157,454,1379,1246,6356106,5377248,209,157
16646,229,595,2487,2296,150,431,1355,1235,6356472,5377529,229,150
16647,230,615,2473,2225,133,453,1415,1288,6356857,5377849,230,133
16648,224,608,2533,2273,122,450,1415,1270,6357241,5378177,224,122
16649,240,592,2451,2220,116,452,1365,1213,6357593,5378513,240,116
16650,239,609,2465,2241,135,441,1334,1180,6357963,5378819,239,135
16651,233,562,2464,2279,153,460,1391,1236,6358292,5379126,233,153
16652,229,637,2504,2246,149,439,1383,1249,6358700,5379416,229,149
16653,255,640,2424,2138,143,464,1389,1221,6359085,5379737,255,143
16654,245,614,2407,2202,138,469,1363,1224,6359454,5380068,245,138
16655,222,639,2533,2284,144,489,1416,1210,6359871,5380413,222,144
16656,225,605,2438,2170,136,481,1466,1298,6360251,5380758,225,136
16657,234,611,2401,2195,160,441,1362,1269,6360628,5381039,234,160
16658,241,601,2445,2249,137,451,1412,1284,6360988,5381353,241,137
16659,221,619,2577,2333,126,454,1435,1299,6361386,5381681,221,126
16660,225,655,2566,2302,145,500,1410,1216,6361816,5382036,225,145
16661,256,597,2474,2248,153,454,1359,1249,6362157,5382337,256,153
16662,225,579,2372,2169,122,465,1398,1262,6362511,5382680,225,122
16663,238,650,2583,2304,153,432,1382,1256,6362923,5382959,238,153
16664,243,639,2487,2212,137,457,1367,1190,6363319,5383279,243,137
16665,248,606,2511,2298,143,452,1386,1245,6363677,5383588,248,143
16666,224,589,2505,2301,135,457,1434,1315,6364042,5383910,224,135
16667,248,594,2457,2229,142,431,1344,1242,6364388,5384199,248,142
16668,215,645,2490,2238,141,455,1404,1287,6364818,5384513,215,141
16669,235,620,2494,2243,125,453,1428,1298,6365203,5384841,235,125
16670,236,659,2506,2218,134,492,1512,1330,6365626,5385199,236,134
16671,259,579,2449,2234,126,444,1378,1229,6365946,5385517,259,126
16672,259,620,2530,2323,143,424,1362,1258,6366307,5385798,259,143
16673,209,627,2493,2211,142,496,1421,1253,6366725,5386152,209,142
16674,219,592,2461,2254,155,443,1373,1248,6367098,5386440,219,155
16675,225,639,2503,2231,128,507,1444,1276,6367512,5386819,225,128
16676,236,609,2421,2205,121,453,1375,1259,6367885,5387151,236,121
16677,229,624,2466,2256,166,480,1409,1247,6368280,5387465,229,166
16678,274,605,2480,2280,122,490,1360,1205,6368611,5387833,274,122
16679,265,669,2499,2205,160,463,1355,1227,6369015,5388136,265,160
16680,239,618,2497,2257,171,475,1459,1304,6369394,5388440,239,171
16681,232,612,2511,2290,161,488,1459,1309,6369774,5388767,232,161
16682,228,576,2469,2260,144,462,1430,1262,6370122,5389085,228,144
16683,221,579,2458,2291,148,457,1406,1271,6370480,5389394,221,148
16684,246,626,2438,2225,133,471,1392,1251,6370860,5389732,246,133
16685,252,622,2471,2241,133,480,1460,1294,6371230,5390079,252,133
16686,218,619,2419,2174,142,501,1429,1229,6371631,5390438,218,142
16687,232,624,2513,2240,147,451,1377,1277,6372023,5390742,232,147
16688,242,620,2515,2265,159,458,1385,1223,6372401,5391041,242,159
16689,230,617,2467,2230,149,459,1373,1237,6372788,5391351,230,149
16690,243,629,2533,2249,141,472,1419,1281,6373174,5391682,243,141
16691,248,575,2483,2273,128,481,1402,1240,6373501,5392035,248,128
16692,226,591,2447,2226,146,460,1434,1329,6373866,5392349,226,146
16693,232,595,2400,2200,140,431,1384,1301,6374229,5392640,232,140
